sbscrbr,Plan_Type,data_consumed,load_date
2152390595,PLN-50,525623,20-1-2021
2363222315,PLN-2K,376919,20-1-2021
8031777977,PLN-100,775866,20-1-2021
3324245844,PLN-500,689030,20-1-2021
4344459543,PLN-500,650615,20-1-2021
5824167174,PLN-2K,114902,20-1-2021
9137031157,PLN-100,116042,20-1-2021
6574560964,PLN-500,512951,20-1-2021
8507144831,PLN-50,808346,20-1-2021
1058852350,PLN-500,331981,20-1-2021
5879009159,PLN-2K,243282,20-1-2021
7598506704,PLN-2K,736260,20-1-2021
8084937991,PLN-50,933109,20-1-2021
2749173407,PLN-2K,291863,20-1-2021
2021807324,PLN-100,778260,20-1-2021
8775599439,PLN-500,732989,20-1-2021
4682544228,PLN-500,501014,20-1-2021
7615701682,PLN-2K,858295,20-1-2021
6515664166,PLN-100,192822,20-1-2021
2027766534,PLN-500,639473,20-1-2021
9866590863,PLN-50,786949,20-1-2021
9727152829,PLN-500,530644,20-1-2021
3932646752,PLN-2K,679541,20-1-2021
2699592901,PLN-2K,301895,20-1-2021
4196949779,PLN-50,709411,20-1-2021
7969044816,PLN-2K,601543,20-1-2021
7848228476,PLN-100,281981,20-1-2021
3595480181,PLN-500,130741,20-1-2021
3854509678,PLN-500,453361,20-1-2021
7576518626,PLN-2K,309431,20-1-2021
9194468242,PLN-100,145655,20-1-2021
5062718206,PLN-500,846894,20-1-2021
9497883803,PLN-50,236710,20-1-2021
3754689807,PLN-500,670696,20-1-2021
3819802443,PLN-2K,141137,20-1-2021
1446730539,PLN-2K,482632,20-1-2021
3144967947,PLN-50,780151,20-1-2021
8632541976,PLN-2K,905153,20-1-2021
4892011670,PLN-100,720382,20-1-2021
4681738720,PLN-500,763446,20-1-2021
6788186529,PLN-500,458379,20-1-2021
5706085789,PLN-2K,163907,20-1-2021
6138634859,PLN-100,984639,20-1-2021
4321819908,PLN-500,533047,20-1-2021
5218485221,PLN-50,931407,20-1-2021
8029855518,PLN-500,713008,20-1-2021
9425409194,PLN-2K,904948,20-1-2021
7125213137,PLN-2K,243581,20-1-2021
9285714279,PLN-50,310651,20-1-2021
7444122122,PLN-2K,417293,20-1-2021
3078473293,PLN-100,405563,20-1-2021
7069570356,PLN-500,387009,20-1-2021
7186626560,PLN-500,430187,20-1-2021
6774425950,PLN-2K,745117,20-1-2021
8483040830,PLN-100,436197,20-1-2021
7685734946,PLN-500,427215,20-1-2021
8615221158,PLN-50,202216,20-1-2021
7822494852,PLN-500,444928,20-1-2021
1378147552,PLN-2K,838676,20-1-2021
2173622328,PLN-2K,176409,20-1-2021
1716595282,PLN-50,156905,20-1-2021
2071887566,PLN-2K,751240,20-1-2021
7438259036,PLN-100,788704,20-1-2021
7002374115,PLN-500,478741,20-1-2021
6791200457,PLN-500,598818,20-1-2021
9253308967,PLN-2K,980675,20-1-2021
9364188816,PLN-100,522988,20-1-2021
9025695205,PLN-500,145297,20-1-2021
7736804460,PLN-50,554182,20-1-2021
1156500870,PLN-500,522032,20-1-2021
7664570754,PLN-2K,505563,20-1-2021
8525805034,PLN-2K,721572,20-1-2021
1681438737,PLN-50,143396,20-1-2021
5734278389,PLN-2K,331434,20-1-2021
5843788607,PLN-100,812210,20-1-2021
3459231640,PLN-500,205866,20-1-2021
5681497688,PLN-500,298144,20-1-2021
9045364026,PLN-2K,163220,20-1-2021
1762362430,PLN-100,119572,20-1-2021
7596664730,PLN-500,103887,20-1-2021
1628575491,PLN-50,187689,20-1-2021
8107160143,PLN-500,343193,20-1-2021
2158656002,PLN-2K,342536,20-1-2021
4215863595,PLN-2K,103654,20-1-2021
3744207447,PLN-50,432770,20-1-2021
5227746632,PLN-2K,848158,20-1-2021
9284374442,PLN-100,819160,20-1-2021
5679471075,PLN-500,549966,20-1-2021
6768908786,PLN-500,919019,20-1-2021
4128074500,PLN-2K,712136,20-1-2021
2343036738,PLN-100,561627,20-1-2021
3778885193,PLN-500,848616,20-1-2021
8626246544,PLN-50,134824,20-1-2021
3476120177,PLN-500,628922,20-1-2021
2722569907,PLN-2K,404957,20-1-2021
1803505188,PLN-2K,131123,20-1-2021
6758538121,PLN-100,692626,20-1-2021
2933796130,PLN-500,865456,20-1-2021
1225292696,PLN-100,888511,20-1-2021
7144320159,PLN-50,242633,20-1-2021
2096627248,PLN-2K,390510,20-1-2021
9247745823,PLN-100,171023,20-1-2021
7724373489,PLN-500,353081,20-1-2021
5478498273,PLN-500,236512,20-1-2021
1194173819,PLN-2K,445074,20-1-2021
8094399441,PLN-100,991872,20-1-2021
7604773167,PLN-500,871441,20-1-2021
2718940218,PLN-50,791144,20-1-2021
8316239397,PLN-500,752585,20-1-2021
5992394306,PLN-2K,580793,20-1-2021
1212756925,PLN-2K,583632,20-1-2021
4893847672,PLN-50,122172,20-1-2021
2803269101,PLN-2K,678814,20-1-2021
6351921536,PLN-100,966294,20-1-2021
3267009970,PLN-500,631239,20-1-2021
6847541761,PLN-500,182437,20-1-2021
5901445460,PLN-2K,305668,20-1-2021
5137162047,PLN-100,932853,20-1-2021
8863450411,PLN-500,370245,20-1-2021
2685892262,PLN-50,468129,20-1-2021
7098691164,PLN-500,596669,20-1-2021
2012209032,PLN-2K,403611,20-1-2021
6814987711,PLN-2K,607779,20-1-2021
7573494558,PLN-50,594086,20-1-2021
9901219983,PLN-2K,877763,20-1-2021
8224203358,PLN-100,570940,20-1-2021
3601947220,PLN-500,548169,20-1-2021
9841422344,PLN-500,993392,20-1-2021
1128050885,PLN-2K,686026,20-1-2021
5395446628,PLN-100,964069,20-1-2021
5825328583,PLN-500,633079,20-1-2021
2034962840,PLN-50,702194,20-1-2021
3644230143,PLN-500,458504,20-1-2021
4801357382,PLN-2K,226395,20-1-2021
5611334030,PLN-2K,131791,20-1-2021
9579094994,PLN-50,954921,20-1-2021
1315416829,PLN-2K,274341,20-1-2021
7363117661,PLN-100,855950,20-1-2021
2405618454,PLN-500,446178,20-1-2021
2145157625,PLN-500,272554,20-1-2021
6854050411,PLN-2K,928306,20-1-2021
6317881902,PLN-100,118949,20-1-2021
6651906148,PLN-500,423863,20-1-2021
2959157218,PLN-50,221587,20-1-2021
8188114382,PLN-500,285695,20-1-2021
9081936370,PLN-2K,455948,20-1-2021
1044946240,PLN-2K,133875,20-1-2021
6878617338,PLN-50,746801,20-1-2021
2067464136,PLN-2K,682952,20-1-2021
2404718927,PLN-100,303676,20-1-2021
7632184391,PLN-500,929114,20-1-2021
7418051999,PLN-500,459272,20-1-2021
8993240185,PLN-2K,665913,20-1-2021
8122533428,PLN-100,172239,20-1-2021
8466432146,PLN-500,575582,20-1-2021
6205919109,PLN-50,378415,20-1-2021
3039075970,PLN-500,575392,20-1-2021
5621538689,PLN-2K,276810,20-1-2021
9188444729,PLN-2K,831965,20-1-2021
1969257912,PLN-50,270343,20-1-2021
9926613092,PLN-2K,937505,20-1-2021
2495470728,PLN-100,396711,20-1-2021
5004679267,PLN-500,569945,20-1-2021
6263159742,PLN-500,374808,20-1-2021
7107769929,PLN-2K,874875,20-1-2021
2674456867,PLN-100,755358,20-1-2021
4121356216,PLN-500,733854,20-1-2021
1298634552,PLN-50,859609,20-1-2021
1164361589,PLN-500,461068,20-1-2021
6881006493,PLN-2K,259769,20-1-2021
4131561011,PLN-2K,974477,20-1-2021
2045458957,PLN-50,873840,20-1-2021
1279956023,PLN-2K,247051,20-1-2021
8749717044,PLN-100,474069,20-1-2021
2111376311,PLN-500,569159,20-1-2021
9628113723,PLN-500,976331,20-1-2021
3283090681,PLN-2K,305297,20-1-2021
5962292272,PLN-100,558933,20-1-2021
4306713388,PLN-500,502418,20-1-2021
8296472968,PLN-50,404829,20-1-2021
2104385835,PLN-500,595776,20-1-2021
3396476606,PLN-2K,404452,20-1-2021
5415554075,PLN-2K,138055,20-1-2021
7411605846,PLN-50,697795,20-1-2021
2849885241,PLN-2K,633759,20-1-2021
7141924469,PLN-100,307358,20-1-2021
5426493791,PLN-500,650711,20-1-2021
6196705105,PLN-500,189608,20-1-2021
6731414098,PLN-2K,181267,20-1-2021
3783119554,PLN-100,952669,20-1-2021
1392586111,PLN-500,163787,20-1-2021
5565759548,PLN-50,207993,20-1-2021
9244884405,PLN-500,223856,20-1-2021
8982823617,PLN-2K,965681,20-1-2021
9187618409,PLN-2K,958590,20-1-2021
7763069065,PLN-100,553667,20-1-2021
8984183809,PLN-500,628517,20-1-2021
8448820744,PLN-100,612943,20-1-2021
7231645076,PLN-50,430955,20-1-2021
3912929272,PLN-2K,193266,20-1-2021
9096580621,PLN-100,620270,20-1-2021
1416406023,PLN-500,926364,20-1-2021
6581283426,PLN-500,844958,20-1-2021
4826415132,PLN-2K,907779,20-1-2021
6188898897,PLN-100,270050,20-1-2021
9717478738,PLN-500,379065,20-1-2021
5625187837,PLN-50,242717,20-1-2021
5432743546,PLN-500,486982,20-1-2021
6454455147,PLN-2K,985641,20-1-2021
1558205599,PLN-2K,846009,20-1-2021
8301077049,PLN-50,658477,20-1-2021
1966892732,PLN-2K,893202,20-1-2021
3996448723,PLN-100,390515,20-1-2021
2995186931,PLN-500,673113,20-1-2021
8056001779,PLN-500,455690,20-1-2021
3819572498,PLN-2K,226388,20-1-2021
5242707036,PLN-100,536083,20-1-2021
5034508847,PLN-500,109301,20-1-2021
4557788758,PLN-50,752203,20-1-2021
1064647844,PLN-500,254593,20-1-2021
8013507831,PLN-2K,406335,20-1-2021
7226428738,PLN-2K,399392,20-1-2021
1597163259,PLN-50,772907,20-1-2021
4345609670,PLN-2K,242572,20-1-2021
6989783465,PLN-100,250901,20-1-2021
3654410773,PLN-500,675006,20-1-2021
7871279927,PLN-500,307169,20-1-2021
8847580622,PLN-2K,222590,20-1-2021
1594446082,PLN-100,507880,20-1-2021
5092419068,PLN-500,757585,20-1-2021
7504048694,PLN-50,760249,20-1-2021
8507773947,PLN-500,289586,20-1-2021
4748393025,PLN-2K,326964,20-1-2021
2456066143,PLN-2K,214728,20-1-2021
9368736516,PLN-50,656388,20-1-2021
9745491526,PLN-2K,119021,20-1-2021
3251512455,PLN-100,140498,20-1-2021
3334278462,PLN-500,969267,20-1-2021
3064227998,PLN-500,616702,20-1-2021
3958130073,PLN-2K,421584,20-1-2021
8767131274,PLN-100,738591,20-1-2021
9402216548,PLN-500,969376,20-1-2021
2189432489,PLN-50,407992,20-1-2021
9335999382,PLN-500,676287,20-1-2021
3626464491,PLN-2K,644556,20-1-2021
7993099377,PLN-2K,220603,20-1-2021
4192113367,PLN-50,513547,20-1-2021
3622431060,PLN-2K,855892,20-1-2021
7897179223,PLN-100,836912,20-1-2021
1524393998,PLN-500,924567,20-1-2021
4725573038,PLN-500,872377,20-1-2021
5512414015,PLN-2K,656995,20-1-2021
5009441539,PLN-100,249804,20-1-2021
3491279968,PLN-500,628034,20-1-2021
2839670088,PLN-50,748216,20-1-2021
7873394907,PLN-500,271190,20-1-2021
