sbscrbr,Plan_Type,voice_time,sms_used,load_date
2152390595,PLN-50,637,17,20-1-2021
2363222315,PLN-2K,624,18,20-1-2021
8031777977,PLN-100,592,16,20-1-2021
3324245844,PLN-500,569,21,20-1-2021
4344459543,PLN-500,615,16,20-1-2021
5824167174,PLN-2K,570,18,20-1-2021
9137031157,PLN-100,570,19,20-1-2021
6574560964,PLN-500,638,18,20-1-2021
8507144831,PLN-50,599,18,20-1-2021
1058852350,PLN-500,634,25,20-1-2021
5879009159,PLN-2K,576,23,20-1-2021
7598506704,PLN-2K,634,21,20-1-2021
8084937991,PLN-50,614,22,20-1-2021
2749173407,PLN-2K,616,23,20-1-2021
2021807324,PLN-100,595,23,20-1-2021
8775599439,PLN-500,586,19,20-1-2021
4682544228,PLN-500,615,16,20-1-2021
7615701682,PLN-2K,635,25,20-1-2021
6515664166,PLN-100,627,17,20-1-2021
2027766534,PLN-500,581,20,20-1-2021
9866590863,PLN-50,613,21,20-1-2021
9727152829,PLN-500,637,17,20-1-2021
3932646752,PLN-2K,629,24,20-1-2021
2699592901,PLN-2K,598,25,20-1-2021
4196949779,PLN-50,585,23,20-1-2021
7969044816,PLN-2K,602,19,20-1-2021
7848228476,PLN-100,620,16,20-1-2021
3595480181,PLN-500,640,19,20-1-2021
3854509678,PLN-500,597,19,20-1-2021
7576518626,PLN-2K,561,16,20-1-2021
9194468242,PLN-100,633,21,20-1-2021
5062718206,PLN-500,574,25,20-1-2021
9497883803,PLN-50,627,25,20-1-2021
3754689807,PLN-500,557,16,20-1-2021
3819802443,PLN-2K,562,25,20-1-2021
1446730539,PLN-2K,568,25,20-1-2021
3144967947,PLN-50,565,19,20-1-2021
8632541976,PLN-2K,629,23,20-1-2021
4892011670,PLN-100,570,24,20-1-2021
4681738720,PLN-500,594,18,20-1-2021
6788186529,PLN-500,567,24,20-1-2021
5706085789,PLN-2K,624,23,20-1-2021
6138634859,PLN-100,572,22,20-1-2021
4321819908,PLN-500,585,20,20-1-2021
5218485221,PLN-50,556,24,20-1-2021
8029855518,PLN-500,612,20,20-1-2021
9425409194,PLN-2K,567,24,20-1-2021
7125213137,PLN-2K,559,19,20-1-2021
9285714279,PLN-50,609,20,20-1-2021
7444122122,PLN-2K,606,19,20-1-2021
3078473293,PLN-100,640,20,20-1-2021
7069570356,PLN-500,560,21,20-1-2021
7186626560,PLN-500,567,19,20-1-2021
6774425950,PLN-2K,602,20,20-1-2021
8483040830,PLN-100,565,25,20-1-2021
7685734946,PLN-500,580,19,20-1-2021
8615221158,PLN-50,617,22,20-1-2021
7822494852,PLN-500,589,25,20-1-2021
1378147552,PLN-2K,634,24,20-1-2021
2173622328,PLN-2K,622,18,20-1-2021
1716595282,PLN-50,577,18,20-1-2021
2071887566,PLN-2K,575,23,20-1-2021
7438259036,PLN-100,600,18,20-1-2021
7002374115,PLN-500,559,23,20-1-2021
6791200457,PLN-500,597,17,20-1-2021
9253308967,PLN-2K,634,22,20-1-2021
9364188816,PLN-100,597,21,20-1-2021
9025695205,PLN-500,612,24,20-1-2021
7736804460,PLN-50,575,23,20-1-2021
1156500870,PLN-500,637,21,20-1-2021
7664570754,PLN-2K,634,24,20-1-2021
8525805034,PLN-2K,596,23,20-1-2021
1681438737,PLN-50,615,22,20-1-2021
5734278389,PLN-2K,614,23,20-1-2021
5843788607,PLN-100,586,17,20-1-2021
3459231640,PLN-500,622,22,20-1-2021
5681497688,PLN-500,591,17,20-1-2021
9045364026,PLN-2K,626,24,20-1-2021
1762362430,PLN-100,590,20,20-1-2021
