sbscrbr,Plan_Type,data_consumed,load_date
2152390595,PLN-50,57592,22-1-2021
1058852350,PLN-50,66469,22-1-2021
5879009159,PLN-500,61529,22-1-2021
7598506704,PLN-100,63597,22-1-2021
8084937991,PLN-2K,61015,22-1-2021
2749173407,PLN-2K,64755,22-1-2021
2021807324,PLN-100,63334,22-1-2021
8775599439,PLN-500,55232,22-1-2021
4682544228,PLN-2K,66396,22-1-2021
7615701682,PLN-50,65357,22-1-2021
6515664166,PLN-50,55793,22-1-2021
2027766534,PLN-500,57320,22-1-2021
9866590863,PLN-50,51470,22-1-2021
9727152829,PLN-500,68723,22-1-2021
3932646752,PLN-2K,57855,22-1-2021
2699592901,PLN-2K,65781,22-1-2021
4196949779,PLN-50,51403,22-1-2021
7969044816,PLN-2K,62142,22-1-2021
7848228476,PLN-100,64632,22-1-2021
3595480181,PLN-500,65621,22-1-2021
3854509678,PLN-500,64795,22-1-2021
2363222315,PLN-500,49517,22-1-2021
8031777977,PLN-500,44960,22-1-2021
3324245844,PLN-2K,33225,22-1-2021
4344459543,PLN-2K,37446,22-1-2021
5824167174,PLN-100,45385,22-1-2021
9137031157,PLN-500,44231,22-1-2021
6574560964,PLN-2K,44077,22-1-2021
8507144831,PLN-2K,32192,22-1-2021
8316239397,PLN-500,26935,22-1-2021
5992394306,PLN-2K,18028,22-1-2021
1212756925,PLN-2K,21212,22-1-2021
4893847672,PLN-50,23570,22-1-2021
2803269101,PLN-2K,19477,22-1-2021
6351921536,PLN-100,28274,22-1-2021
3267009970,PLN-500,24630,22-1-2021
6847541761,PLN-500,15203,22-1-2021
5901445460,PLN-2K,10775,22-1-2021
5137162047,PLN-100,29577,22-1-2021
8863450411,PLN-500,12594,22-1-2021
2685892262,PLN-50,10838,22-1-2021
7098691164,PLN-500,24946,22-1-2021
2012209032,PLN-2K,12322,22-1-2021
6814987711,PLN-2K,26055,22-1-2021
7573494558,PLN-50,21521,22-1-2021
9901219983,PLN-2K,27121,22-1-2021
8224203358,PLN-100,20071,22-1-2021
3601947220,PLN-500,29768,22-1-2021
9841422344,PLN-500,10103,22-1-2021
1128050885,PLN-2K,29207,22-1-2021
5395446628,PLN-100,21609,22-1-2021
5825328583,PLN-500,11036,22-1-2021
2034962840,PLN-50,15076,22-1-2021
3644230143,PLN-500,22693,22-1-2021
4801357382,PLN-2K,27926,22-1-2021
5611334030,PLN-2K,19326,22-1-2021
9579094994,PLN-50,27554,22-1-2021
1315416829,PLN-2K,29519,22-1-2021
7363117661,PLN-100,27632,22-1-2021
2405618454,PLN-500,11314,22-1-2021
2145157625,PLN-500,20582,22-1-2021
6854050411,PLN-2K,14928,22-1-2021
6317881902,PLN-100,23653,22-1-2021
6651906148,PLN-500,29321,22-1-2021
2959157218,PLN-50,19001,22-1-2021
8188114382,PLN-500,26926,22-1-2021
9081936370,PLN-2K,28262,22-1-2021
1044946240,PLN-2K,24084,22-1-2021
6878617338,PLN-50,17829,22-1-2021
2067464136,PLN-2K,26150,22-1-2021
